action,identifier,name,family,size,qty,current_price_in_system,new_price,reason,priority
תיקון כמות,160,10.000 גלויות 10X15,דפים,15x10,1,1276,,"תיקון כמות 10,000 — באג פסיקים (""10.000"")",1
תיקון כמות,321,כרטיסי ביקור 10.000 יחי,כרטיסי ביקור,,0,2320,,"תיקון כמות 10,000 — באג פסיקים (""10.000"")",1
תיקון כמות,322,כרטיסי ביקור 20.000 יחי,כרטיסי ביקור,,0,4639,,"תיקון כמות 20,000 — באג פסיקים (""20.000"")",1
תיקון כמות,499,12/9 10.000 יחידות הדפסה על מגנט,מגנטים,12x9,0,6000,,"תיקון כמות 10,000 — באג פסיקים (""10.000"")",1
תיקון כמות,514,15.000 אלף 10/8 מגנט 5/9magnetbusiness,מגנטים,10x8,1,5700,,"תיקון כמות 15,000 — באג פסיקים (""15.000"")",1
תיקון כמות,1061,"הדפסה על מגנט 10/10 10,000 יח",מגנטים,10x10,0,4900,,"תיקון כמות 10,000 — באג פסיקים (""10,000"")",1
עדכון מחיר,1181,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-10 ס''מ 1000 יחידות,מדבקות,10x10,1000,590,480,מדרגת 1000 מאושרת,1
עדכון מחיר,1193,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-15 ס''מ 1000 יחידות,מדבקות,10x15,1000,590,595,מלבן גדול 1000 מאושר,1
עדכון מחיר,1195,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 10-15 ס''מ 500 יחידות,מדבקות,10x15,500,340,375,מלבן גדול 500 מאושר,1
עדכון מחיר,1186,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 24-6 ס''מ 1000 יחידות,מדבקות,24x6,1000,590,595,מלבן גדול 1000 מאושר,1
עדכון מחיר,1190,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 24-6 ס''מ 500 יחידות,מדבקות,24x6,500,340,375,מלבן גדול 500 מאושר,1
עדכון מחיר,1141,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 1000 יחידות,מדבקות,3x3,1000,315,299,מדרגת 1000 מאושרת,1
עדכון מחיר,1142,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 1000 יחידות,מדבקות,4x4,1000,330,310,מדרגת 1000 מאושרת,1
עדכון מחיר,1151,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 100 יחידות,מדבקות,5x9,100,154,126,סולם 5×9 מאושר (דלי 126),1
עדכון מחיר,1152,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 1000 יחידות,מדבקות,5x9,1000,420,245,סולם 5×9 מאושר,1
עדכון מחיר,1153,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 150 יחידות,מדבקות,5x9,150,163,134,סולם 5×9 מאושר,1
עדכון מחיר,1154,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 200 יחידות,מדבקות,5x9,200,179,143,סולם 5×9 מאושר,1
עדכון מחיר,1155,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 250 יחידות,מדבקות,5x9,250,199,157,סולם 5×9 מאושר,1
עדכון מחיר,1156,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-9 ס''מ 500 יחידות,מדבקות,5x9,500,280,174,סולם 5×9 מאושר,1
עדכון מחיר,1140,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 6-6 ס''מ 500 יחידות,מדבקות,6x6,500,270,249,תיקון נתונים מאושר 6×6×500,1
עדכון מחיר,1158,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 7-7 ס''מ 1000 יחידות,מדבקות,7x7,1000,495,395,מדרגת 1000 מאושרת,1
עדכון מחיר,1164,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 8-8 ס''מ 1000 יחידות,מדבקות,8x8,1000,495,395,מדרגת 1000 מאושרת,1
עדכון מחיר,1169,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 9-9 ס''מ 1000 יחידות,מדבקות,9x9,1000,505,420,תיקון נתונים מאושר 9×9×1000,1
